word,relative_frequency
immediately,0.034
dangerous,0.034
families,0.034
check,0.034
bearded,0.034
arrive,0.034
absolutely,0.034
lipstick,0.034
forgotten,0.034
shared,0.034
running,0.034
probably,0.034
dress,0.034
afghanistan,0.034
happen,0.034
opposition,0.034
older,0.034
sign,0.034
excited,0.034
alcohol,0.034
guess,0.034
strong,0.034
carried,0.034
pardisse,0.034
taji,0.034
drive,0.034
bombed,0.034
table,0.034
waited,0.034
write,0.034
usual,0.034
hallo,0.034
share,0.034
afternoon,0.034
houshang,0.034
hairdresser,0.034
recognize,0.034
present,0.034
mmm,0.034
answer,0.034
spoke,0.034
apartment,0.034
doubt,0.034
sweet,0.034
tradition,0.034
co,0.034
model,0.034
divorce,0.034
result,0.034
owner,0.034
watch,0.034
natural,0.034
joint,0.034
telephone,0.034
sixteen,0.034
size,0.034
butt,0.034
vegetable,0.034
across,0.034
sought,0.034
taher,0.034
allowed,0.034
germany,0.034
earth,0.034
imagine,0.034
it'll,0.034
covered,0.034
wore,0.034
classes,0.034
history,0.034
professor,0.034
opposed,0.034
tor,0.034
example,0.034
choice,0.034
behave,0.034
horrible,0.034
nine,0.034
march,0.034
north,0.034
date,0.034
enter,0.034
experience,0.034
affection,0.034
recognized,0.034
closer,0.034
dance,0.034
preferred,0.034
drink,0.034
danger,0.034
order,0.034
single,0.034
mohsen,0.034
laly,0.034
laugh,0.034
effect,0.034
film,0.034
skiing,0.034
bother,0.034
normal,0.034
effort,0.034
housemates,0.034
girlfriend,0.034
snow,0.034
fire,0.034
detail,0.034
careful,0.034
kof,0.034
dick,0.034
murderer,0.034
finger,0.034
kuwaiti,0.034
secret,0.034
played,0.034
mehri,0.034
torture,0.034
missile,0.034
strictly forbidden,0.034
islamic republic,0.034
hi hi,0.034
boarding house,0.034
really liked,0.034
getting married,0.034
parents' house,0.034
head scarf,0.034
childhood friend,0.034
old man,0.034
michael jackson,0.034
glass,0.027
dowry,0.027
society,0.027
trust,0.027
wrist,0.027
finished,0.027
system,0.027
filled,0.027
garden,0.027
g,0.027
giving,0.027
persia,0.027
pleased,0.027
prince,0.027
capital,0.027
written,0.027
sit,0.027
pain,0.027
demonstrated,0.027
shot,0.027
gandhi,0.027
secular,0.027
rich,0.027
broken,0.027
homosexual,0.027
according,0.027
worst,0.027
except,0.027
hahaha,0.027
neither,0.027
physical,0.027
raid,0.027
showed,0.027
forgot,0.027
walking,0.027
exchange,0.027
whipped,0.027
led,0.027
path,0.027
discovered,0.027
camel,0.027
worried,0.027
september,0.027
spain,0.027
meeting,0.027
pm,0.027
may,0.027
learning,0.027
movie,0.027
announced,0.027
invasion,0.027
drank,0.027
ck,0.027
beard,0.027
mustache,0.027
showing,0.027
twelve,0.027
evil,0.027
bbc,0.027
radio,0.027
wrote,0.027
promised,0.027
wish,0.027
lesson,0.027
fighter,0.027
sky,0.027
thinking,0.027
agreed,0.027
ich,0.027
adult,0.027
arriving,0.027
abroad,0.027
bye,0.027
fashionable,0.027
remembered,0.027
store,0.027
open,0.027
space,0.027
switzerland,0.027
expected,0.027
serious,0.027
crying,0.027
luck,0.027
expect,0.027
begin,0.027
joy,0.027
mine,0.027
ass,0.027
badly,0.027
liberty,0.027
complete,0.027
continue,0.027
admitted,0.027
blue,0.027
baby,0.027
event,0.027
marc,0.027
added,0.027
hall,0.027
scarf,0.027
comfortable,0.027
somebody,0.027
fifteen,0.027
believed,0.027
de,0.027
thierry,0.027
pretended,0.027
becoming,0.027
fled,0.027
mandana,0.027
